date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:54	28065/28065	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202017%2016:24:47%20GMT	http://wordpressboss.com/pc/spider-demo/	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/index.html	(from )
18:00:55	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2030%20Jan%202019%2012:31:16%20GMT	http://wordpressboss.com/robots.txt		(from )
18:00:58	121260/121260	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:26:05%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:00	31000/31000	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:25:01%20GMT	http://wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:02	2815/2815	---MC-	200	added ('OK')	text/css	date:Wed,%2030%20Jan%202019%2012:31:20%20GMT	https://fonts.googleapis.com/css?family=Raleway:300,400,500,600,700,800,900|Poppins:300,400,500,600,700&subset=latin-ext	/home/kaneki/websites/port/fonts.googleapis.com/css3745.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:02	1478/1478	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:26:35%20GMT	http://wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/owl.carousel.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/owl.carousel.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:02	1662/1662	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:26:35%20GMT	http://wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/owl.theme.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/owl.theme.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:04	6951/6951	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:24:51%20GMT	http://wordpressboss.com/pc/spider-demo/assets/css/magnific-popup.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/css/magnific-popup.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:06	54877/54877	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:24:52%20GMT	http://wordpressboss.com/pc/spider-demo/assets/css/animate.min.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/css/animate.min.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:06	19192/19192	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:24:54%20GMT	http://wordpressboss.com/pc/spider-demo/assets/css/style.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/css/style.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:08	3641/3641	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:24:52%20GMT	http://wordpressboss.com/pc/spider-demo/assets/css/responsive.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/css/responsive.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:08	2770/2770	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:25:36%20GMT	http://wordpressboss.com/pc/spider-demo/assets/switcher/switcher.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/switcher/switcher.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:09	74/74	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202017%2016:25:28%20GMT	http://wordpressboss.com/pc/spider-demo/assets/switcher/style1.css	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/switcher/style1.css	(from http://wordpressboss.com/pc/spider-demo/)
18:01:10	28065/28065	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202017%2016:24:47%20GMT	http://wordpressboss.com/pc/spider-demo/index.html	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/index-2.html	(from http://wordpressboss.com/pc/spider-demo/)
18:01:19	36890/36890	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:23%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/portfolio/1.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/portfolio/1.jpg	(from http://wordpressboss.com/pc/spider-demo/)
18:01:31	135321/135321	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:25:13%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/me.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/me.jpg	(from http://wordpressboss.com/pc/spider-demo/)
18:01:32	102477/102477	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:26%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/portfolio/3.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/portfolio/3.jpg	(from http://wordpressboss.com/pc/spider-demo/)
18:01:36	125193/125193	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:25%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/portfolio/2.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/portfolio/2.jpg	(from http://wordpressboss.com/pc/spider-demo/)
18:01:42	52658/52658	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:30%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/portfolio/6.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/portfolio/6.jpg	(from http://wordpressboss.com/pc/spider-demo/)
18:01:48	97188/97188	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:28%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/portfolio/5.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/portfolio/5.jpg	(from http://wordpressboss.com/pc/spider-demo/)
